Time_s,Displacement_Linear_m,Displacement_Sine_m,Displacement_Exp_m,Displacement_Poly5_m
0.062,0.0011573333333333,0.0018138185967884,0.0049278269914017,5.60291693906e-05
0.064,0.001232,0.0019305567194896,0.0052191706879383,6.32233069274e-05
0.066,0.001309,0.0020509070896852,0.0055173486939992,7.10706433474e-05
0.068,0.0013883333333333,0.0021748664079089,0.0058222480483839,7.96068122284e-05
0.07,0.00147,0.0023024312757534,0.0061337576569762,8.88680768889e-05
0.072,0.001554,0.0024335981959634,0.0064517682618843,9.88913063289e-05
0.074,0.0016403333333333,0.0025683635725316,0.0067761724110903,0.000109713951378
0.076,0.001729,0.002706723710797,0.007106864428602,0.0001213740210511
0.078,0.00182,0.0028486748175465,0.0074437403850977,0.0001339100591111
0.08,0.0019133333333333,0.002994213001119,0.0077866980690565,0.0001473611208395
0.082,0.002009,0.0031433342715114,0.0081356369583651,0.0001617667500141
0.084,0.002107,0.003296034540489,0.0084904581923947,0.0001771669560941
0.086,0.0022073333333333,0.0034523096216967,0.0088510645445389,0.0001936021916128
0.088,0.00231,0.0036121552307741,0.0092173603952058,0.0002111133297778
0.09,0.002415,0.0037755669854733,0.0095892517052563,0.0002297416422778
0.092,0.0025223333333333,0.0039425404057783,0.0099666459898817,0.000249528777298
0.094,0.002632,0.0041130709140285,0.0103494522929126,0.0002705167377422
0.096,0.002744,0.0042871538350439,0.0107375811615527,0.0002927478596622
0.098,0.0028583333333333,0.0044647843962533,0.0111309446215307,0.0003162647908951
0.1,0.002975,0.004645957727825,0.011529456152662,0.0003411104699074
0.102,0.003094,0.0048306688628008,0.0119330306648146,0.0003673281048474
0.104,0.0032153333333333,0.0050189127372315,0.0123415844742731,0.000394961152804
0.106,0.003339,0.0052106841903162,0.0127550352804919,0.0004240532992733
0.108,0.003465,0.0054059779645436,0.013173302143234,0.0004546484378333
0.11,0.0035933333333333,0.0056047887058364,0.0135963054600867,0.0004867906500247
0.112,0.003724,0.0058071109636975,0.0140239669443496,0.00052052418544
0.114,0.003857,0.0060129391913601,0.0144562096032874,0.00055589344202
0.116,0.0039923333333333,0.0062222677459394,0.0148929577167431,0.0005929429465573
0.118,0.00413,0.0064350908885872,0.0153341368161035,0.0006317173354074
0.12,0.00427,0.0066514027846497,0.0157796736636136,0.0006722613354074
0.122,0.0044123333333333,0.0068711975038269,0.0162294962320317,0.0007146197450017
0.124,0.004557,0.0070944690203355,0.0166835336846221,0.0007588374155756
0.126,0.004704,0.0073212112130742,0.0171417163554769,0.0008049592329956
0.128,0.0048533333333333,0.0075514178657912,0.0176039757301647,0.000853030099358
0.13,0.005005,0.0077850826672549,0.0180702444266979,0.0009030949149444
0.132,0.005159,0.0080221992114266,0.0185404561768153,0.0009551985603844
0.134,0.0053153333333333,0.0082627609976365,0.0190145458075736,0.0010093858790262
0.136,0.005474,0.0085067614307618,0.0194924492232436,0.0010657016595141
0.138,0.005635,0.0087541938214073,0.0199741033875052,0.0011241906185741
0.14,0.0057983333333333,0.009005051386089,0.0204594463059371,0.0011848973840062
0.142,0.005964,0.0092593272474201,0.0209484170087958,0.0012478664778844
0.144,0.006132,0.0095170144342993,0.0214409555340787,0.0013131422999644
0.146,0.0063023333333333,0.0097781058821024,0.0219370029108682,0.001380769111298
0.148,0.006475,0.0100425944328753,0.02243650114295,0.0014507910180556
0.15,0.00665,0.0103104728355309,0.0229393931927033,0.0015232519555556
0.152,0.0068273333333333,0.0105817337460474,0.0234456229652558,0.0015981956725017
0.154,0.007007,0.0108563697276699,0.0239551352929021,0.0016756657154274
0.156,0.007189,0.0111343732511142,0.0244678759197789,0.0017557054133474
0.158,0.0073733333333333,0.0114157366947734,0.0249837914867931,0.0018383578626173
0.16,0.00756,0.0117004523449264,0.0255028295168001,0.001923665912
0.162,0.007749,0.01198851239595,0.0260249384000261,0.00201167214794
0.164,0.0079403333333333,0.0122799089505323,0.026550067379732,0.0021024188800447
0.166,0.008134,0.0125746340198895,0.0270781665381135,0.0021959481267733
0.168,0.00833,0.0128726795239851,0.0276091867824353,0.0022923016013333
0.17,0.0085283333333333,0.0131740372917509,0.0281430798313935,0.002391520697784
0.172,0.008729,0.0134786990613115,0.028679798201704,0.0024936464773474
0.174,0.008932,0.0137866564802107,0.0292192951949124,0.0025987196549274
0.176,0.0091373333333333,0.0140979011056401,0.0297615248844218,0.0027067805858351
0.178,0.009345,0.0144124244046712,0.0303064421027352,0.0028178692527222
0.18,0.009555,0.0147302177544889,0.0308540024289087,0.0029320252527222
0.182,0.0097673333333333,0.0150512724426279,0.0314041621762119,0.003049287784798
0.184,0.009982,0.0153755796672118,0.0319568783799926,0.0031696956372978
0.186,0.010199,0.0157031305371942,0.032512108785742,0.0032932871757178
0.188,0.0104183333333333,0.0160339160726026,0.0330698118373567,0.0034201003306728
0.19,0.01064,0.0163679272047843,0.0336299466655952,0.0035501725860741
0.192,0.010864,0.0167051547766555,0.0341924730767254,0.0036835409675141
0.194,0.0110903333333333,0.017045589542952,0.0347573515413591,0.0038202420308595
0.196,0.011319,0.0173892221704826,0.0353245431834712,0.0039603118510511
0.198,0.01155,0.0177360432383852,0.035894009769601,0.0041037860111111
0.2,0.0117833333333333,0.0180860432383852,0.0364657136982313,0.004250699591358
0.202,0.012019,0.0184392125750558,0.0370396179893432,0.0044010871588289
0.204,0.012257,0.018795541566081,0.0376156862741438,0.0045549827569089
0.206,0.0124973333333333,0.0191550204425217,0.0381938827849636,0.0047124198951684
0.208,0.01274,0.0195176393490829,0.0387741723453204,0.0048734315394074
0.21,0.012985,0.0198833883443841,0.0393565203601484,0.0050380501019074
0.212,0.0132323333333333,0.0202522574012318,0.0399408928061877,0.0052063074318906
0.214,0.013482,0.0206242364068944,0.0405272562225336,0.0053782348061867
0.216,0.013734,0.0209993151633797,0.0411155777013416,0.0055538629201067
0.218,0.0139883333333333,0.0213774833877141,0.0417058248786856,0.0057332218785247
0.22,0.014245,0.0217587307122246,0.0422979659255686,0.0059163411871667
0.222,0.014504,0.0221430466848233,0.0428919695390804,0.0061032497441067
0.224,0.0147653333333333,0.0225304207692936,0.0434878049337025,0.0062939758314706
0.226,0.015029,0.0229208423455794,0.0440854418327562,0.0064885471073474
0.228,0.015295,0.0233143007100759,0.0446848504599924,0.0066869905979074
0.23,0.0155633333333333,0.0237107850759233,0.0452860015313199,0.0068893326897284
0.232,0.015834,0.0241102845733024,0.0458888662466711,0.0070955991223289
0.234,0.016107,0.0245127882497327,0.0464934162820017,0.0073058149809089
0.236,0.0163823333333333,0.0249182850703726,0.0470996237814225,0.007520004689298
0.238,0.01666,0.0253267639183218,0.0477074613494618,0.0077381920031111
0.24,0.01694,0.0257382135949266,0.0483169020434552,0.0079604000031111
0.242,0.0172223333333333,0.026152622820086,0.0489279193660612,0.0081866510887795
0.244,0.017507,0.026569980232562,0.0495404872579011,0.0084169669720941
