Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
0.0,0.0,0.0,0.0,0.0
0.002,0.0011666666666667,0.0018325873409969,0.0058248986331722,1.289823457e-07
0.004,0.0023333333333333,0.003665124440686,0.0115535201603016,1.026694321e-06
0.006,0.0035,0.0054975610591372,0.0171874559019814,3.44771e-06
0.008,0.0046666666666667,0.0073298469591749,0.0227282708765888,8.1312553086e-06
0.01,0.0058333333333333,0.0091619319077556,0.0281775042350225,1.58013117284e-05
0.012,0.007,0.0109937656773449,0.0335366696882546,2.716672e-05
0.014,0.0081666666666667,0.0128252980472947,0.0388072559278153,4.29212838272e-05
0.016,0.0093333333333333,0.0146564788052199,0.0439907270393283,6.37438735802e-05
0.018,0.0105,0.0164872577483749,0.0490885229092103,9.029853e-05
0.02,0.0116666666666667,0.0183175846850303,0.054102059624649,0.0001232345679012
0.022,0.0128333333333333,0.0201474094358485,0.0590327298669696,0.0001631866798765
0.024,0.014,0.0219766818352597,0.0638819032984997,0.00021077504
0.026,0.0151666666666667,0.0238053517328369,0.0686509269430396,0.0002666054075309
0.028,0.0163333333333333,0.0256333689946711,0.073341125560045,0.0003312692306173
0.03,0.0175,0.0274606835047457,0.0779538020126235,0.00040534375
0.032,0.0186666666666667,0.0292872451663104,0.0824902376294495,0.000489392102716
0.034,0.0198333333333333,0.0311130039032545,0.0869516925606976,0.0005839634258025
0.036,0.021,0.03293790966148,0.0913394061280918,0.00068959296
0.038,0.0221666666666667,0.0347619124102736,0.0956545971691698,0.0008068021534568
0.04,0.0233333333333333,0.0365849621436787,0.0998984643758568,0.0009360987654321
0.042,0.0245,0.0384070088818658,0.1040721866274432,0.00107797697
0.044,0.0256666666666667,0.0402280026725033,0.1081769233180584,0.0012329174597531
0.046,0.0268333333333333,0.0420478935921265,0.1122138146787328,0.0014013875495062
0.048,0.028,0.0438666317475065,0.116183982094135,0.00158384128
0.05,0.0291666666666667,0.0456841672770181,0.120088528414076,0.0017807195216049
